date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,optionid,forward_price,index_flag,issuer,exercise_style
19961023,19961221,19961023,C,745000,3.25,3.625,503,1112,0.127681,0.181251,0.007375,11381200,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19970621,19961023,P,685000,20.625,21.625,20,31,0.166406,-0.316401,0.003703,11328966,722.557312,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,680000,7.25,7.5,5691,1326,0.173166,-0.247271,0.006516,11277036,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,680000,2.875,3.125,728,6715,0.182272,-0.172908,0.008078,11365456,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19970322,19961023,P,660000,10.375,11.125,15,3537,0.180532,-0.217733,0.003605,11346651,716.554469,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,715000,12.625,13.375,118,1559,0.135938,-0.599549,0.016339,11367941,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,760000,0,0.125,62,70,0.12001,0.009028,0.001169,11369017,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,640000,0.6875,0.75,538,5391,0.242805,-0.041134,0.00209,11452033,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19970621,19961023,P,600000,6.75,7.25,2,10491,0.205744,-0.11334,0.001624,11476288,722.557312,1,CBOE S&P 500 INDEX,E
19961023,19970118,19961023,P,680000,9.75,10.25,168,334,0.170149,-0.269399,0.005671,11394881,712.523986,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,725000,9.375,9.625,27,8194,0.138706,0.367354,0.009692,11433861,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,705000,11.875,12.375,909,7808,0.148612,0.561283,0.01525,11553840,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,655000,3.75,4.125,7,1827,0.19612,-0.136812,0.003993,11573888,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19970118,19961023,P,700000,14.875,15.625,293,995,0.155395,-0.389865,0.007204,11497916,712.523986,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,705000,13.625,14.375,251,6873,0.150855,-0.432592,0.009298,11521079,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,750000,2.3125,2.6875,37,5073,0.124867,0.142863,0.006458,11420279,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,735000,5.75,6.25,25,2991,0.133437,0.2698,0.008846,11484024,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,690000,22.625,23.625,712,4286,0.170015,0.743261,0.010876,11437963,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,670000,2,2.125,1465,3943,0.197837,-0.119553,0.005805,11616017,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19970322,19961023,P,675000,13.75,14,772,15037,0.173185,-0.272628,0.004239,11489090,716.554469,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,740000,4.375,4.5,1016,2176,0.128601,0.220221,0.008229,11722078,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,475000,0,0.0625,225,2326,0.341605,-0.00113,0.000039,11526431,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,685000,8.125,8.625,15,8230,0.168587,-0.277613,0.007101,11722957,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,640000,2.5,2.875,623,7051,0.209122,-0.094775,0.002884,11443092,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19970118,19961023,P,645000,4.75,5.125,11,22,0.198357,-0.137527,0.003242,11444826,712.523986,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,525000,0.0625,0.1875,40,3068,0.301078,-0.004573,0.000159,11605099,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19970118,19961023,C,720000,16.375,16.625,600,825,0.146771,0.452889,0.00787,11605132,712.523986,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,700000,12.125,12.5,479,9365,0.155212,-0.388763,0.008813,11445855,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,650000,3.25,3.625,2417,6878,0.199956,-0.120562,0.003587,11609876,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,675000,2.25,2.5,2733,9610,0.187316,-0.140292,0.00685,11588791,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,695000,10.625,11.125,1221,4813,0.160097,-0.348646,0.008246,11790376,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,635000,2.25,2.625,20,2213,0.215058,-0.085296,0.002593,11669281,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,695000,18.875,19.625,1062,5107,0.163805,0.690667,0.012356,11775053,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19970118,19961023,C,740000,7.875,8.375,100,113,0.135019,0.290175,0.007408,11655248,712.523986,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,690000,9.25,9.75,212,2510,0.163877,-0.31107,0.007698,11754695,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,710000,9,9.25,1684,9983,0.141916,0.483003,0.016152,11796386,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,670000,5.5,6,41,2301,0.182636,-0.195869,0.005408,11740318,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19970322,19961023,P,680000,14.5,15.25,216,1523,0.169362,-0.29193,0.004478,11718212,716.554469,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,680000,31.125,32.125,3,4583,0.185814,0.82124,0.008052,10067627,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19970621,19961023,P,700000,25,25.875,39,7766,0.159419,-0.372239,0.004102,10081912,722.557312,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,690000,6.25,6.625,3435,9101,0.180436,-0.318711,0.011736,10137157,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,715000,4.125,4.5,995,7779,0.131351,0.308842,0.015906,10087399,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,650000,10.125,10.875,4,24521,0.189746,-0.207051,0.003366,10023065,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,740000,38.25,39.25,10,15,0.194726,-0.85399,0.006933,10263139,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,685000,21,21.75,8,2547,0.141878,0.787334,0.012094,10047813,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970621,19961024,C,775000,10.5,11.25,500,5172,0.134324,0.250874,0.004148,10088867,717.289757,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,660000,2,2.25,912,6524,0.224912,-0.11285,0.005053,10265214,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970621,19961024,P,550000,3.75,4.125,58,7778,0.231295,-0.063834,0.00095,10008143,717.289757,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,775000,0.125,0.375,6,1130,0.116835,0.02133,0.00159,10053042,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,650000,1.25,1.4375,1438,3558,0.233424,-0.074656,0.003586,10244734,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970118,19961024,P,710000,21.875,22.875,802,834,0.157431,-0.50138,0.007479,10204651,707.416065,1,CBOE S&P 500 INDEX,E
19961024,19970118,19961024,P,720000,26.75,27.75,5,552,0.151623,-0.578374,0.007603,10224069,707.416065,1,CBOE S&P 500 INDEX,E
19961024,19970118,19961024,P,670000,9.625,10.125,32,216,0.184147,-0.253427,0.005145,10031314,707.416065,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,C,675000,49.375,50.375,10,33356,0.167093,0.701281,0.004565,10350962,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,645000,1.0625,1.3125,10,2521,0.243681,-0.064785,0.00308,10339347,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,700000,18.75,19.125,187,7938,0.146757,0.564856,0.009706,10372284,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,725000,24.625,25.625,531,1132,0.166593,-0.767024,0.010855,10415374,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,675000,36.25,37.25,22,2041,0.163827,0.762665,0.006785,10439526,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,720000,24.375,25.375,127,686,0.15226,-0.618522,0.009051,10343416,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,720000,2.75,3,558,4343,0.128745,0.231067,0.014029,10419067,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,625000,6.75,7.25,800,16818,0.203779,-0.141879,0.002465,10472665,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,710000,14.5,14.75,1516,5268,0.164633,-0.583273,0.014045,10509753,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,655000,1.375,1.625,23,2023,0.222044,-0.085471,0.004176,10360467,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,600000,4.5,4.875,3,10462,0.21857,-0.096373,0.001749,10476774,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,665000,2.375,2.625,21,2706,0.216358,-0.133091,0.005897,10405208,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,620000,0.375,0.5,2174,3583,0.27269,-0.02468,0.001258,10493120,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,700000,10.625,11.375,837,7865,0.136506,0.566563,0.017077,10622334,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,735000,34.625,35.625,3,2365,0.149627,-0.744493,0.007736,10538885,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,600000,0.125,0.25,285,6491,0.29361,-0.010843,0.000578,10605189,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970621,19961024,P,500000,1.9375,2.1875,15,2013,0.258932,-0.03306,0.000501,10497848,717.289757,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,715000,21.75,22.75,10,1893,0.156495,-0.570869,0.009078,10454294,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,730000,5.25,5.75,9,2292,0.130227,0.260277,0.009043,10644669,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,685000,28.625,29.625,5,22,0.157417,0.693285,0.008049,10645449,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,700000,9.625,10,1230,6211,0.171545,-0.442706,0.013647,10413758,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,640000,8.75,9.25,10,3922,0.195908,-0.178945,0.002983,10708732,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,720000,21,22,346,1892,0.168855,-0.708321,0.012031,10566093,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970118,19961024,P,640000,5.125,5.625,200,200,0.206636,-0.143793,0.00325,10501861,707.416065,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,730000,28.875,29.875,76,671,0.171916,-0.80817,0.009378,10778542,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970118,19961024,P,690000,14.375,15.125,1158,262,0.168981,-0.361876,0.006559,10674676,707.416065,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,705000,12,12.75,362,5937,0.173032,-0.511178,0.013662,10723730,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,735000,0.5,0.6875,55,1189,0.120786,0.06719,0.006392,11053311,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,740000,0.125,0.375,1045,5386,0.11415,0.033386,0.003865,10974838,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,705000,15.75,16.5,260,7780,0.144591,0.515882,0.009983,10869954,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,700000,22.75,23.75,1250,3307,0.163067,-0.413697,0.00532,11067959,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,710000,19.25,20,481,4136,0.158545,-0.525083,0.009092,10813143,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19970621,19961024,P,650000,14.75,15.375,4,22650,0.185293,-0.228078,0.002856,10959659,717.289757,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,550000,1.9375,2.1875,1,3889,0.248186,-0.042996,0.000824,11016475,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,670000,33.625,34.625,20,5629,0.138264,0.930411,0.005648,11038061,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,610000,1.625,1.875,1000,1451,0.244851,-0.058367,0.001729,10981078,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,725000,1.75,2,870,9992,0.127567,0.166411,0.01161,11196795,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,660000,5.375,5.875,3927,4051,0.197778,-0.182819,0.004863,11197204,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,500000,0.0625,0.1875,10,35,0.34168,-0.004116,0.000129,11176929,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,740000,38.375,39.375,12,30,0.147991,-0.782576,0.007141,11022101,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,730000,1.125,1.375,360,2917,0.128841,0.118826,0.009149,10985222,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,695000,7.75,8.25,4269,5734,0.17636,-0.378037,0.012784,11118888,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,685000,5,5.375,670,4585,0.185346,-0.266481,0.010513,11241093,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,710000,13.125,13.875,497,6669,0.141901,0.465303,0.010147,11008274,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,C,725000,19.25,20,5,6844,0.144835,0.432053,0.006042,11263072,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,690000,25.125,26.125,543,6570,0.154785,0.653091,0.008616,11220497,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,675000,8,8.5,32,3390,0.185705,-0.257881,0.006311,11080395,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,625000,2.375,2.75,20,5107,0.232944,-0.084123,0.002407,11045008,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,665000,6.125,6.625,4,6662,0.193505,-0.205128,0.005332,11142044,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,600000,1.25,1.5,59,5848,0.253533,-0.046025,0.001383,11047031,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,755000,0.9375,1.1875,8,58,0.11788,0.074535,0.004341,11269655,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,670000,14,14.75,10,5636,0.178089,-0.275954,0.00419,11030466,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,725000,27.5,28.5,31,9128,0.150557,-0.663621,0.008752,11270843,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,695000,21.75,22.75,14,3503,0.151455,0.610308,0.009157,11294413,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,680000,9,9.5,159,1355,0.180491,-0.286961,0.006847,11277036,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,680000,4.125,4.375,1206,7705,0.192031,-0.222923,0.009217,11365456,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,660000,12,12.75,30,3517,0.184522,-0.239987,0.003763,11346651,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,715000,17.25,18,458,1563,0.16212,-0.653302,0.013484,11367941,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,760000,0,0.125,75,145,0.133805,0.008414,0.001016,11369017,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970621,19961024,P,600000,7.625,8.125,11,10497,0.208505,-0.124189,0.001725,11476288,717.289757,1,CBOE S&P 500 INDEX,E
19961024,19970118,19961024,P,680000,11.625,12.375,11,345,0.175932,-0.30314,0.005875,11394881,707.416065,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,725000,7.125,7.25,20,8188,0.134006,0.311234,0.009567,11433861,705.652765,1,CBOE S&P 500 INDEX,E
