IV_D_h1,IV_D_h2,IV_D_h3,IV_D_h6,IV_D_h9,IV_D_h12,date
0.000858335823789243,0.00186933184970092,0.00293535034136451,0.00608738922744864,0.00922768773902531,0.0122647431762762,05-Apr-2005
0.000796160921507995,0.00180110479811648,0.00283460490579075,0.00587123799916461,0.00898264200426867,0.0118086178973848,06-Apr-2005
0.000710876156099209,0.00163767285071689,0.00262397075733846,0.00559428442018253,0.00874098758712678,0.0118902139103113,07-Apr-2005
0.000731088219893335,0.0016347903343979,0.0026205688242562,0.00559912436255057,0.00861729248764039,0.0115949430607644,08-Apr-2005
0.000669135128075371,0.00164936778557411,0.00265497911853071,0.00567495780705196,0.00865042257167555,0.0116249936519593,11-Apr-2005
0.000631936787726688,0.00159018427493532,0.00256219375339936,0.0055568210905646,0.00872338333736817,0.0118671935747258,12-Apr-2005
0.000706162583506275,0.00200289022954611,0.00308708127869196,0.00625754880415071,0.00945692137635463,0.0126134481168785,13-Apr-2005
0.00101109469966481,0.00223752246527305,0.00350953904006941,0.0072312275803088,0.0106828300055931,0.0141012612504383,14-Apr-2005
0.00145509894427137,0.00294126342914337,0.0042485018088645,0.00816978578437196,0.0121380875080082,0.0160136140016226,15-Apr-2005
0.00128950602082442,0.00279210747838121,0.00397797871368226,0.00799646586851216,0.0117698060103381,0.01534405298973,18-Apr-2005
0.00095961956797999,0.00219586187847052,0.00330328368419671,0.00699577313846016,0.0107639419923368,0.0148180623446215,19-Apr-2005
0.00142292428177162,0.00268656314805823,0.00417569265798516,0.00827558381603461,0.012257599071615,0.0162740192970834,20-Apr-2005
0.00100761460013105,0.00212005407390472,0.00327976947539865,0.00687565866288798,0.0109550655088391,0.0155118189722572,21-Apr-2005
0.00118219017953537,0.00231434568208805,0.00357815720709874,0.00747222843047568,0.0116456719060801,0.015688830582857,22-Apr-2005
0.00106749467403048,0.00223313124037789,0.00346700275730481,0.00728906553241858,0.0112884973069876,0.015017634140376,25-Apr-2005
0.00107058684568358,0.00228362255931084,0.00347008174131663,0.007484189637936,0.0117908791143403,0.0165367900311759,26-Apr-2005
0.00107075034276491,0.00224905925366266,0.00340079156294227,0.00739917740836671,0.0116978331547355,0.0164431920848353,27-Apr-2005
0.00140055310803765,0.00274933805194938,0.00420474243012353,0.00849355666933603,0.0128697777363684,0.017472378768621,28-Apr-2005
0.00116289778211545,0.00244144431156295,0.00366576534763975,0.00775074874365356,0.0118649570588732,0.0159752069491454,29-Apr-2005
0.0011458268305828,0.00240273929202409,0.00365797671431311,0.00763666937801852,0.0116377554892216,0.0155668010586121,02-May-2005
0.00104618532387275,0.00217387659603363,0.00333366002307338,0.00726209102990434,0.0114244115229344,0.0155992722874346,03-May-2005
